predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled,api_provider
skin/lip-care/dryness-dehydration/spf,skin/lip-care/dryness-dehydration/spf,openai/gpt-oss-20b,"{'prompt_tokens': 4170, 'completion_tokens': 520, 'total_tokens': 4690}",success,2.128892421722412,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an...",prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.155928,True,groq
skin/seruns/normal-skin,skin/seruns/normal-skin,openai/gpt-oss-20b,"{'prompt_tokens': 4194, 'completion_tokens': 928, 'total_tokens': 5122}",success,3.184645414352417,False,True,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act...",prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.158919,True,groq
skin/eye-care/glasses,skin/eye-care/glasses,openai/gpt-oss-20b,"{'prompt_tokens': 4290, 'completion_tokens': 809, 'total_tokens': 5099}",success,3.724083662033081,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her...",prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.161907,True,groq
hair/anti-dandruff/preshampoo-head-scrub,hair/anti-dandruff/preshampoo-head-scrub,openai/gpt-oss-20b,"{'prompt_tokens': 4222, 'completion_tokens': 325, 'total_tokens': 4547}",success,1.1489336490631104,False,True,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ...,prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.163901,True,groq
skin/targeted-correction/deep-whrinkles,skin/targeted-correction/deep-whrinkles,openai/gpt-oss-20b,"{'prompt_tokens': 4253, 'completion_tokens': 379, 'total_tokens': 4632}",success,2.1116223335266113,False,True,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L...,prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.166894,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4305, 'completion_tokens': 1000, 'total_tokens': 5305}",success,2.226471185684204,False,False,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat...",prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.168882,True,groq
fragrance/fragrance/perfume,fragrance/fragrance/perfume,openai/gpt-oss-20b,"{'prompt_tokens': 4347, 'completion_tokens': 837, 'total_tokens': 5184}",success,1.7711379528045654,False,True,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter...",prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.170875,True,groq
skin/cleansers-tonners,skin/cleansers-tonners,openai/gpt-oss-20b,"{'prompt_tokens': 4247, 'completion_tokens': 297, 'total_tokens': 4544}",success,0.7105538845062256,False,True,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi...",prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.172869,True,groq
,,openai/gpt-oss-20b,"{'prompt_tokens': 4179, 'completion_tokens': 1000, 'total_tokens': 5179}",success,1.312246561050415,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ...,prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.177857,True,groq
skin/dark-spots/seruns,skin/dark-spots/seruns,openai/gpt-oss-20b,"{'prompt_tokens': 4252, 'completion_tokens': 774, 'total_tokens': 5026}",success,1.7150824069976807,True,True,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha...",prompt_reason_04,openai/gpt-oss-20b,True,2025-08-07T09:10:40.179848,True,groq
