predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled
skin/lip-care/dryness-dehydration,skin/lip-care/dryness-dehydration,o3-mini-2025-01-31,"{'completion_tokens': 855, 'prompt_tokens': 5126, 'total_tokens': 5981, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 832, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,10.370810270309448,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an",prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.978089,True
skin/global-anti-aging/seruns,skin/global-anti-aging/seruns,o3-mini-2025-01-31,"{'completion_tokens': 597, 'prompt_tokens': 5150, 'total_tokens': 5747, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 576, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,8.44716763496399,False,True,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act",prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.980373,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 5246, 'total_tokens': 6246, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,12.507341146469116,False,False,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her",prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.982419,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 5178, 'total_tokens': 6178, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,12.845685720443726,False,False,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ,prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.985409,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 5209, 'total_tokens': 6209, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,12.91450572013855,False,False,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L,prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.989410,True
hair/frizz-unruly-hair/masks,hair/frizz-unruly-hair/masks,o3-mini-2025-01-31,"{'completion_tokens': 599, 'prompt_tokens': 5261, 'total_tokens': 5860, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 576, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,8.124094009399414,False,True,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat",prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.992398,True
fragrance,fragrance,o3-mini-2025-01-31,"{'completion_tokens': 783, 'prompt_tokens': 5303, 'total_tokens': 6086, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 768, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,8.456289529800415,False,False,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter",prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.994698,True
skin/cleansers-tonners,skin/cleansers-tonners,o3-mini-2025-01-31,"{'completion_tokens': 916, 'prompt_tokens': 5203, 'total_tokens': 6119, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 896, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,12.231304407119751,False,True,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi",prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.997695,True
,,o3-mini-2025-01-31,"{'completion_tokens': 1000, 'prompt_tokens': 5135, 'total_tokens': 6135, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 1000, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,9.800549983978271,False,False,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ,prompt_HCP_02,o3-mini,True,2025-08-06T15:34:04.999688,True
skin/dark-spots/seruns,skin/dark-spots/seruns,o3-mini-2025-01-31,"{'completion_tokens': 789, 'prompt_tokens': 5208, 'total_tokens': 5997, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 768, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 4864}}",success,8.968568801879883,True,True,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha",prompt_HCP_02,o3-mini,True,2025-08-06T15:34:05.001931,True
