predicted_category,raw_response,model_used,usage,status,latency,exact_match,partial_match,used_fallback,true_category,product_description,prompt_name,model,from_cache,timestamp,langsmith_enabled,mandatory_output
skin/lip-care,skin/lip-care,o3-mini-2025-01-31,"{'completion_tokens': 145, 'prompt_tokens': 1002, 'total_tokens': 1147, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 128, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,2.7183401584625244,False,False,False,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an",prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.285482,True,True
skin/seruns,"skin/seruns

",o3-mini-2025-01-31,"{'completion_tokens': 274, 'prompt_tokens': 1026, 'total_tokens': 1300, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 256, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,4.378052711486816,False,True,False,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act",prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.286339,True,True
skin/eye-care,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1122, 'total_tokens': 1622, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.97803807258606,False,False,True,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her",prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.287907,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1054, 'total_tokens': 1554, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.597492456436157,False,False,True,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ,prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.291449,True,True
skin/moisturisers,skin/moisturisers,o3-mini-2025-01-31,"{'completion_tokens': 146, 'prompt_tokens': 1085, 'total_tokens': 1231, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 128, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,2.6316041946411133,False,True,False,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L,prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.291449,True,True
hair/contitioner,hair/contitioner,o3-mini-2025-01-31,"{'completion_tokens': 337, 'prompt_tokens': 1137, 'total_tokens': 1474, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 320, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.413644313812256,False,True,False,hair/hair-mask/straightening,"Cotril-K-Smooth Supreme Keratin Mask-Restore and nourish with Cotril K-Smooth Supreme Keratin Mask. This moisturizing treatment disciplines, detangles, and fights frizz, helping to prolong salon kerat",prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.295368,True,True
skin/moisturisers,"fragrance
",o3-mini-2025-01-31,"{'completion_tokens': 144, 'prompt_tokens': 1179, 'total_tokens': 1323, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 128, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,3.1542599201202393,False,False,True,fragrance/women,"Korloff-Écorce d'Argent Eau de Parfum-Discover Korloff Écorce d'Argent Eau de Parfum — a niche fragrance where woody elegance meets fresh bergamot, inspired by the grandeur of Saint Petersburg’s Peter",prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.297374,True,True
skin/cleansers-tonners,skin/cleansers-tonners,o3-mini-2025-01-31,"{'completion_tokens': 84, 'prompt_tokens': 1079, 'total_tokens': 1163, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 64, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,2.8420450687408447,False,True,False,skin/cleansers-tonners/combination-to-oily-skin,"Tocobo-Vita Berry Pore Toner-Ethically produced and Vegan-friendly, Vita Berry Pore Toner is formulated with 50,000ppm of berry water, which includes wild strawberry extract that is abundant in organi",prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.298365,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 1011, 'total_tokens': 1511, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,6.035720586776733,False,False,True,makeup/complexion/makeup-removers,Clinique-Rinse Off Foaming Cleanser -Rinse off foaming cleanser has the formula indicated for skin type 2 - dry the combination skin.   The combination todry skin will thank this product!    	 	It is ,prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.300363,True,True
skin/seruns,skin/seruns,o3-mini-2025-01-31,"{'completion_tokens': 337, 'prompt_tokens': 1084, 'total_tokens': 1421, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 320, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}",success,5.800829648971558,False,True,False,skin/dark-spots/seruns,"Sesderma-Azelac Ru Depigmenting Ampoules Ampoules-Azelac Ru depigmenting ampouleshelp prevent and reduce hyperpigmentation effectively.   Depigmenting action,  anti-inflammatory and antioxidant!   Tha",prompt_mandatory_output,o3-mini,True,2025-08-06T16:36:37.302351,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4116, 'total_tokens': 4616, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,5.365316390991211,False,False,True,sun-tan/eyes-lips-sensitive-areas,"Babe-Fotoprotector Lip Protection SPF50 Invisible -Fotoprotector Lip Protection SPF50 Invisibleallows aprolonged protection and hydration of the lips, giving a transparent finish.   Water resistant an",prompt_reason_04,o3-mini,True,2025-08-06T16:36:37.305346,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4140, 'total_tokens': 4640, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,4.960766315460205,False,True,True,skin/dark-spots/seruns,"Rilastil-Intense C Gel Serum-Intense C Gel Serum is a protective serum specially formulated for skin that is subject to oxidizing aggressors,such as the sun, smoke, pollution, and intense physical act",prompt_reason_04,o3-mini,True,2025-08-06T16:36:37.306817,True,True
skin/eye-care,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4236, 'total_tokens': 4736, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,5.708843946456909,False,False,True,health-care/contact-lenses,"Montana Eyewear-Blue Light Filter Glasses HBLF73A Turtle -Lightweight, practical and very comfortable, perfect for everyday life!   Choose the diopter that best suits your vision!   Ideal for both her",prompt_reason_04,o3-mini,True,2025-08-06T16:36:37.306817,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4168, 'total_tokens': 4668, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,6.731700897216797,False,False,True,hair/seruns-leave-in/sensitive-scalp,Lador-Tea Tree Scalp Clinic Hair Pack-Experience the soothing benefits of Tea Tree Scalp Clinic Hair Pack.Effectively removes dead skin cells and soothes the scalp!Formulated with natural ingredients ,prompt_reason_04,o3-mini,True,2025-08-06T16:36:37.306817,True,True
skin/moisturisers,[Empty response],o3-mini-2025-01-31,"{'completion_tokens': 500, 'prompt_tokens': 4199, 'total_tokens': 4699, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 500, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 3840}}",success,6.013884544372559,False,True,True,skin/loss-firmness/specific-moisturizers,Roc-Multi Correxion Firm + Lift Firming Cream-Restore facial firmness and redefine contours with Roc Multi Correxion Firm + Lift Anti-Sagging Firming Cream — clinically proven to combat sagging skin.L,prompt_reason_04,o3-mini,True,2025-08-06T16:36:37.314164,True,True
