predicted_category,confidence,raw_response,tokens_used,model_used,timestamp,status,concatenated_product,true_category,exact_match,partial_match,prompt_name
body/beauty-tech,unknown,body/beauty-tech,4666,gpt-4o-mini-2024-07-18,2025-08-06T12:29:41.212936,success,"Terpenic-Diffuser Pulse-The Diffuser Pulse utilizes ultrasonic water vaporization technology with chromotherapy and BLUETOOTH, enabling the diffusion of a wide range of essential oils or synergies, creating a refreshing and aromatic mist that aids in ionizing the environment while restoring humidity levels.Immerse yourself in the therapeutic world of chromotherapy and set the ambiance with your favorite music.By simply adding a few drops of essential oil to the water reservoir, the micronization and subsequent nebulization process disperse the aroma throughout the room, effectively humidifying dry spaces. You have the flexibility to select your preferred color at any moment or opt for the dynamic variable color mode.Whether you wish to choose a specific color or enjoy the shifting hues, the Pulse Diffuser offers a harmonious experience. What's more, you can effortlessly sync your smartphone to Pulse, allowing you to unwind as the diffuser synchronizes its illuminations with the rhythm of the Terpenic playlist on Spotify #terpenic_moments.Operates between 1.5h to 4h.",health-care/nebulizers,False,False,prompt_HCP
mom-baby/after-birth/breast-feeding,unknown,mom-baby/after-birth/breast-feeding,4634,gpt-4o-mini-2024-07-18,2025-08-06T12:29:43.155347,success,"MomCozy-Adjustable Pillow-Discover Momcozy Adjustable Pregnancy and Nursing Pillowâyour ultimate solution for pain-free, hands-free breastfeeding support. A baby registry essential loved by moms.Comfort, Connection, and Care!Key Benefits:Encourages better posture, reducing shoulder and neck strainEnlarged side wings for full-arm supportAdjustable waist strap for a secure, customized fitBuilt-in safety fence prevents baby from rollingPerfect for nursing, propping, tummy time and sittingGrows with your baby (0â9+ months)Ideal for moms and family members assisting in feedingMomcozy Adjustable Pregnancy and Nursing Pillow is more than a support toolâit's a must-have for modern motherhood. With thoughtful design, all-around comfort, and practical versatility, it transforms feeding time into a pain-free, hands-free bonding experience.",mom-baby/maternity-essentials/strollers-accessories,False,True,prompt_HCP
hair/shampoo/*,unknown,hair/shampoo/*,4553,gpt-4o-mini-2024-07-18,2025-08-06T12:29:44.916202,success,"Haan-Hair Shampoo-The sulfate-free Hair Shampoo cares for your hair from root to tip.Its prebiotic formula nourishes the beneficial bacteria on your scalp, promoting stronger hair growth!Enjoy the delightful Morning Glory fragrance, featuring subtle floral notes with a seductive grapefruit base. With its convenient 60 mL size, this shampoo can accompany you on your journey, whether it's from home to your destination or anywhere in between. Take care of your hair no matter where you go with this travel-friendly option.",hair/dry-damaged-hair/shampoo,False,True,prompt_HCP
skin/firming-anti-ageing/moisturisers,unknown,skin/firming-anti-ageing/moisturisers,4587,gpt-4o-mini-2024-07-18,2025-08-06T12:29:47.125548,success,"La Prairie-Skin Caviar Luxe Cream Sheer -Skin Caviar Luxe Cream Sheeris anindulgent lifting andfirming cream with caviar extracts,with a light and delicate texture.   A light texture that leaves the skin extraordinarily soft!     The now-renewed formula with the introduction of Caviar Premier provides hydration, nourishment, and a powerful firming action with an extraordinary lifting effect never seen before. It contains even three more forms of caviar: Caviar Water, Caviar Extract and Caviar Absolute.  The skin looks more supported, smooth and firm, with a greater sense of firmness and elasticity.",skin/loss-firmness/specific-moisturizers,False,True,prompt_HCP
skin/cleansers-tonners/dry-skin,unknown,skin/cleansers-tonners/dry-skin,4647,gpt-4o-mini-2024-07-18,2025-08-06T12:29:49.307166,success,"Clarins-Soothing Gentle Foaming Cleanser-Discover CLARINS Soothing Gentle Foaming Cleanser, a soothing foaming cleanser for dry skin. Cleanse, comfort, and hydrate with natureâs finest ingredients.Experience pure comfort and cleanliness from the heart of the Alps!Key Benefits:Soothes and comforts dry skinPerfectly cleanses and removes makeupPreserves skin's natural balanceHydrates with organic shea butterReduces discomfort with organic chamomile extractActive Ingredients:Organic Shea Butter: deep hydrationOrganic Chamomile Extract: comfort and sootheMoringa Extract: pollution particle eliminationClarins [Complexe Douceur]: Yellow Gentian and Lemon Balm extractsCLARINS Soothing Gentle Foaming Cleanser is a must-have for anyone seeking a luxurious, eco-friendly skincare solution that offers unparalleled comfort, cleanliness, and hydration. Add this to your beauty routine for radiant, perfectly balanced skin every day.",skin/cleansers-tonners,False,True,prompt_HCP
skin/seruns/firming-anti-ageing/seruns,unknown,skin/seruns/firming-anti-ageing/seruns,4605,gpt-4o-mini-2024-07-18,2025-08-06T12:29:51.670555,success,"Mesoestetic-Glycolic +E + F Ampoules-Glicolic + E + F ampoules | An intensive weekly treatment, for all skin types, that speeds up skin renewal!  Its concentrated formula accelerates cell renewal to reduce visible imperfections on the surface of the skin (wrinkles, spots, pores, dull skin, uneven texture, etc.).   Effective exfoliating action and an ideal dermal tolerance!   It is presented in lightweight, quick-absorbing individual ampoules containing the optimum amount of ingredients for each application.  Its dark glass shape, packaged in a sterile atmosphere, provides maximum safety and ensures that the properties of the formula are perfectly preserved over time.",skin/dark-spots/seruns,False,True,prompt_HCP
skin/moisturisers/normal-skin,unknown,skin/moisturisers/normal-skin,4625,gpt-4o-mini-2024-07-18,2025-08-06T12:29:53.524339,success,"Dermalogica-Biolumin-C Gel Moisturizer-Biolumin-C Gel Moisturizer is suitable for all skin types, especially for those concerned about fine lines, wrinkles, hyperpigmentation, and loss of firmness and elasticity.A daily moisturizer that offers lightweight hydration and enhances skin radiance, promoting a healthy complexion!It features a highly-stable Vitamin C complex with advanced re-activation biotechnology, increasing bioavailability for brighter skin and improved barrier defense.The formula is enriched with antioxidants, Squalane, and five types of Hyaluronic Acid, providing essential hydration and minimizing the appearance of fine lines and wrinkles. Additionally, the inclusion of Verbascum Thapsus Flower Extract offers an instant brightening effect. With the presence of Phytic Acid and Pumpkin Enzymes, which possess exfoliating properties, it supports natural skin renewal.",skin/dark-spots/specific-moisturizers,False,True,prompt_HCP
skin/cleansers-tonners/sensitive-skin,unknown,skin/cleansers-tonners/sensitive-skin,4639,gpt-4o-mini-2024-07-18,2025-08-06T12:29:55.358498,success,"Dermagius-Hyaluage Micelar Water-Discover Dermagius Hyaluage Micellar Water â the ultimate 2-in-1 solution for deep cleansing and hydration, perfect for all skin types.Cleanse deeply, hydrate effortlessly!Key Benefits:Effective Cleansing: Removes makeup, impurities, and residue without irritation.Hydration Boost: Plant-based Hyaluronic Acid locks in moisture and enhances skin elasticity.Soothing Action: Aloe Vera calms, refreshes, and reduces skin sensitivity.Gentle for All: Non-oily formula suitable for all skin types, including sensitive skin and eye areas.Active Ingredients: Plant-Based Hyaluronic Acid and Aloe Vera.Dermagius Hyaluage Micellar Water delivers the perfect balance of effective cleansing and skin care. Ideal for everyday use, it keeps your skin fresh, hydrated, and radiant. A must-have addition to any beauty routine!",skin/cleansers-tonners/normal-skin,False,True,prompt_HCP
health-care/diabetics,unknown,health-care/diabetics,4742,gpt-4o-mini-2024-07-18,2025-08-06T12:29:57.095959,success,"Akileine-Akildia Multi-Protective Cream for Diabetic Feet-The diabetic has secondary problems due to theand altered glucose (sugar)concentrations in the blood. One of the consequences is theemergence andaggravation of circulatory problems and desensitization onthe ends of the members.  The foot is part of the end the leg and with the evolution of the disease is poorly irrigated and loses sensibility.  Sometimes diabetics make small wounds on the feet and may not feel.  On the other hand the insufficient blood supply turns wound healingslower and more difficult.  Thus, a diabetic should avoid having his feet exposed, preventing injuries and dryness that can lead to calluses and cracks.   - Akildia - The importance of protecting the diabetic foot!   Akildia was developed to handle thedaily moisture ofdiabetic foot, protecting the skin of aggressions, preventing dehydration and fighting against Hyperkeratosis (hard, dry skin).  Also promotes and restores the hydrolipidic skin barrier, favouring cell renewal.   In its composition contains:   	glycerine and fatty acids - moisturizing and protective agents; 	 	asian spark and shea butter - healing agents; 	 	vitamin A palmitate - regenerating agent 	 	palmitoyl lipoamino&aacute;cido caseinico - agent strengthens skin defences.",health-care/diabetics,True,True,prompt_HCP
hair/conditioner/*,unknown,hair/conditioner/*,4671,gpt-4o-mini-2024-07-18,2025-08-06T12:29:58.807816,success,"Some by Me-Cica Peptide Derma Scalp Conditioner-Nourish and soothe your scalp with SOME BY MI Cica Peptide Derma Scalp Conditioner, enriched with CICA, peptides, and biotin for healthier, shinier hair.Strengthen roots, soothe your scalp, shine naturally!Key Benefits:Hydrates and nourishes dry, brittle hair;Soothes sensitive, irritated, or oily scalps;Helps prevent hair loss and strengthens hair roots;Smooths and detangles for manageable, shiny hair;Removes impurities and dead skin cells.Active Ingredients:Centella Asiatica &amp; Madecassoside: soothe scalp irritation and promote regeneration.Salicylic Acid (BHA): cleanses scalp impurities and removes dead skin cells.Biotin: strengthens hair and supports growth.Green Tea Extract: protects with antioxidants, offers anti-inflammatory benefits.Peptides: boost collagen for a fortified hair structure.Transform your hair care routine with this deeply nourishing treatment SOME BY MI Cica Peptide Derma Scalp Conditioner designed for healthier, stronger, and beautifully radiant hair.",hair/contitioner/hair-loss,False,True,prompt_HCP
supplements-vitamins/digestive-health,unknown,supplements-vitamins/digestive-health,4639,gpt-4o-mini-2024-07-18,2025-08-06T12:30:00.890849,success,"Dr Vegan-Debloat and Detox Food Supplement-Revitalize your digestive health and reduce bloating naturally with Dr. Vegan Debloat and Detoxâa powerful blend of botanicals and amino acids for detoxification and liver support.<i>Banish bloat and lighter naturally!</i>Key Benefits:Eases digestive bloating, especially after mealsRemoves toxins naturally from the liver and bodyDaily liver support with a unique botanical blendAll-natural ingredients, free from additives and fillersActive Ingredients:<br>Milk Thistle, Fennel, Dandelion Root, Burdock, Artichoke, L-Glutamine, Schisandra Berry.Dr. Vegan Debloat and Detox is the perfect addition to any beauty routine, supporting a flatter, more comfortable stomach while promoting natural detoxification. With its expert blend of botanicals, this daily formula ensures you feel your best from the inside out.",health-care/nutrition,False,False,prompt_HCP
body/bath-shower,unknown,body/bath-shower,4599,gpt-4o-mini-2024-07-18,2025-08-06T12:30:02.938072,success,"Payot-Rituel Douceur Exfoliating Body Granita-Payot Rituel Douceur Exfoliating Body Granita is a gentle body scrub that reveals the skin's natural light.Removes impurities and reveals luminous skin!Enriched with Rose Quartz Microcrystals and Argan Bark,Rituel Douceur Exfoliating Body Granita doubly exfoliates the skin in the perfect amount to remove impurities and dead skin cells and reveal soft, luminous skin.Suitable for all skin types, it reveals the skin's natural light while immersing the body and mind in a ""bubble"" of well-being.The dual botanical and mineral formula with 85% naturally derived ingredients is gentle and effective on the skin.",body/exfoliators,False,True,prompt_HCP
